UUID        = 3e371ad3-61ad-463a-be44-2ef7a72d5213
ScanDate    = 20241215_133125
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19475331     PULS   2888 
     19475333     PULS   2960 
     19475335     PULS   3027 
     19475337     PULS   4095 
     19475339     PULS   4095 
     19475341     PULS   4095 
     19475343     PULS   4095 
     19475345     PULS   4095 
     19475347     PULS   4095 
     19475349     PULS   4095 
     19475351     PULS   4095 
     19475353     PULS   4095 
     19475355     PULS   4095 
     19475357     PULS   4095 
     19475359     PULS   4095 
     19475361     PULS   4095 
     19475363     PULS   4095 
     19475365     PULS   4095 
     19475367     PULS   4095 
     19475369     PULS   4095 
     19475370     PULS   4095 
     19475372     PULS   4095 
     19475374     PULS   4095 
     19475376     PULS   4095 
     19475378     PULS   4095 
     19475380     PULS   4095 
     19475382     PULS   3036  PULS_TRIGGER
     19475384     PULS   2994 
     19475386     PULS   2952 
     19475388     PULS   2909 
     19475390     PULS   2865 
     19475392     PULS   2820 
     19475394     PULS   2774 
     19475396     PULS   2728 
     19475398     PULS   2681 
     19475400     PULS   2633 
     19475402     PULS   2585 
     19475404     PULS   2536 
     19475406     PULS   2488 
     19475408     PULS   2439 
     19475410     PULS   2391 
     19475412     PULS   2343 
     19475414     PULS   2295 
     19475416     PULS   2248 
     19475418     PULS   2202 
     19475420     PULS   2158 
     19475422     PULS   2115 
     19475424     PULS   2074 
     19475426     PULS   2036 
     19475428     PULS   1999 
     19475430     PULS   1965 
     19475432     PULS   1934 
     19475434     PULS   1905 
     19475436     PULS   1879 
     19475438     PULS   1856 
     19475440     PULS   1836 
     19475442     PULS   1820 
     19475444     PULS   1806 
     19475446     PULS   1795 
     19475448     PULS   1786 
     19475450     PULS   1781 
     19475452     PULS   1777 
     19475454     PULS   1776 
     19475456     PULS   1776 
     19475458     PULS   1778 
     19475460     PULS   1781 
     19475462     PULS   1784 
     19475464     PULS   1789 
     19475466     PULS   1794 
     19475468     PULS   1799 
     19475470     PULS   1804 
     19475472     PULS   1809 
     19475474     PULS   1814 
     19475476     PULS   1819 
     19475478     PULS   1823 
     19475480     PULS   1826 
     19475482     PULS   1829 
     19475484     PULS   1831 
     19475486     PULS   1832 
     19475488     PULS   1832 
     19475490     PULS   1831 
     19475492     PULS   1830 
     19475494     PULS   1827 
     19475496     PULS   1824 
     19475498     PULS   1819 
     19475500     PULS   1815 
     19475502     PULS   1809 
     19475504     PULS   1803 
     19475506     PULS   1796 
     19475508     PULS   1789 
     19475510     PULS   1781 
     19475512     PULS   1773 
     19475514     PULS   1764 
     19475516     PULS   1755 
     19475518     PULS   1746 
     19475520     PULS   1737 
     19475522     PULS   1727 
     19475524     PULS   1718 
     19475526     PULS   1709 
     19475528     PULS   1699 
     19475530     PULS   1690 
     19475532     PULS   1680 
     19475534     PULS   1671 
     19475536     PULS   1661 
     19475538     PULS   1652 
     19475540     PULS   1642 
     19475542     PULS   1633 
     19475544     PULS   1624 
     19475546     PULS   1615 
     19475548     PULS   1607 
     19475550     PULS   1598 
     19475552     PULS   1590 
     19475554     PULS   1582 
     19475556     PULS   1574 
     19475558     PULS   1566 
     19475560     PULS   1558 
     19475562     PULS   1551 
     19475564     PULS   1543 
     19475566     PULS   1535 
     19475568     PULS   1528 
     19475570     PULS   1521 
     19475572     PULS   1513 
     19475574     PULS   1506 
