filename	acq_time	operator	randstr
anat/sub-32_ses-001_T1w.nii.gz	2025-10-12T16:03:12.847500	n/a	88f1ef0d
func/sub-32_ses-001_task-backtothefuture_run-001_sbref.nii.gz	2025-10-12T16:12:26.745000	n/a	08415ba7
func/sub-32_ses-001_task-backtothefuture_run-001_bold.nii.gz	2025-10-12T16:12:37.245000	n/a	e3dc1466
func/sub-32_ses-001_task-backtothefuture_run-002_sbref.nii.gz	2025-10-12T16:34:33.492500	n/a	843ab46f
func/sub-32_ses-001_task-backtothefuture_run-002_bold.nii.gz	2025-10-12T16:34:43.992500	n/a	afcdceac
fmap/sub-32_ses-001_acq-func_dir-PA_run-002_epi.nii.gz	2025-10-12T17:13:37.637500	n/a	b7809540
func/sub-32_ses-001_task-backtothefuture_run-003_sbref.nii.gz	2025-10-12T17:16:14.712500	n/a	78441ae9
func/sub-32_ses-001_task-backtothefuture_run-003_bold.nii.gz	2025-10-12T17:16:25.212500	n/a	dd079fb9
fmap/sub-32_ses-001_acq-func_dir-PA_run-003_epi.nii.gz	2025-10-12T17:56:50.070000	n/a	7d8afcf9
