UUID        = f9980a6b-2fb8-45dc-8ec5-c39af96f1671
ScanDate    = 20250908_184300
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     26978032     PULS   2038 
     26978034     PULS   2025 
     26978036     PULS   2013 
     26978038     PULS   1998 
     26978040     PULS   1985 
     26978042     PULS   1973 
     26978044     PULS   1958 
     26978046     PULS   1940 
     26978048     PULS   1925 
     26978050     PULS   1910 
     26978052     PULS   1893 
     26978054     PULS   1878 
     26978056     PULS   1860 
     26978058     PULS   1843 
     26978060     PULS   1825 
     26978062     PULS   1803 
     26978064     PULS   1783 
     26978066     PULS   1760 
     26978068     PULS   1738 
     26978070     PULS   1718 
     26978072     PULS   1693 
     26978074     PULS   1670 
     26978076     PULS   1645  EXT2_TRIGGER
     26978078     PULS   1623 
     26978080     PULS   1598 
     26978082     PULS   1570 
     26978084     PULS   1550 
     26978086     PULS   1525 
     26978088     PULS   1503 
     26978090     PULS   1485 
     26978092     PULS   1465 
     26978094     PULS   1445 
     26978096     PULS   1425 
     26978098     PULS   1405 
     26978100     PULS   1388 
     26978102     PULS   1365 
     26978104     PULS   1348 
     26978106     PULS   1325 
     26978108     PULS   1310 
     26978110     PULS   1288 
     26978112     PULS   1268 
     26978114     PULS   1250 
     26978116     PULS   1233 
     26978118     PULS   1218 
     26978120     PULS   1208 
     26978122     PULS   1200 
     26978124     PULS   1193 
     26978126     PULS   1193 
     26978128     PULS   1193 
     26978130     PULS   1193 
     26978132     PULS   1198 
     26978134     PULS   1203 
     26978136     PULS   1210 
     26978138     PULS   1220 
     26978140     PULS   1233 
     26978142     PULS   1245 
     26978144     PULS   1258 
     26978146     PULS   1268 
     26978148     PULS   1283 
     26978150     PULS   1295 
     26978152     PULS   1305 
     26978154     PULS   1320 
     26978156     PULS   1333 
     26978158     PULS   1345 
     26978160     PULS   1358 
     26978162     PULS   1365 
     26978164     PULS   1373 
     26978166     PULS   1383 
     26978168     PULS   1388 
     26978170     PULS   1395 
     26978172     PULS   1403 
     26978174     PULS   1408 
     26978176     PULS   1413 
     26978178     PULS   1423 
     26978180     PULS   1425 
     26978182     PULS   1433 
     26978184     PULS   1440 
     26978186     PULS   1448 
     26978188     PULS   1453 
     26978190     PULS   1460 
     26978192     PULS   1468 
     26978194     PULS   1473 
     26978196     PULS   1475 
     26978198     PULS   1483 
     26978200     PULS   1490 
     26978202     PULS   1498 
     26978204     PULS   1505 
     26978206     PULS   1515 
     26978208     PULS   1523 
     26978210     PULS   1530 
     26978212     PULS   1538 
     26978214     PULS   1543 
     26978216     PULS   1548 
     26978218     PULS   1550 
     26978220     PULS   1553 
     26978222     PULS   1553 
     26978224     PULS   1555 
     26978226     PULS   1558 
     26978228     PULS   1560 
     26978230     PULS   1558 
     26978232     PULS   1555 
     26978234     PULS   1555 
     26978236     PULS   1555 
