UUID        = 8d07f42b-1363-44c7-94a3-43190cf2ea2c
ScanDate    = 20240411_153956
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22560638     PULS   3450 
     22560640     PULS   3496 
     22560642     PULS   3536 
     22560644     PULS   3572 
     22560646     PULS   3604 
     22560648     PULS   3628 
     22560650     PULS   3648 
     22560652     PULS   3660 
     22560654     PULS   3668 
     22560656     PULS   3674 
     22560658     PULS   3674 
     22560660     PULS   3670 
     22560662     PULS   3664 
     22560664     PULS   3654 
     22560666     PULS   3640 
     22560668     PULS   3622 
     22560670     PULS   3598 
     22560672     PULS   3576 
     22560674     PULS   3544 
     22560676     PULS   3512 
     22560677     PULS   3476 
     22560679     PULS   3438 
     22560681     PULS   3400 
     22560683     PULS   3360 
     22560685     PULS   3316 
     22560687     PULS   3274 
     22560689     PULS   3232 
     22560691     PULS   3186 
     22560693     PULS   3140 
     22560695     PULS   3094 
     22560697     PULS   3044 
     22560699     PULS   2994 
     22560701     PULS   2942 
     22560703     PULS   2892 
     22560705     PULS   2836 
     22560707     PULS   2784 
     22560709     PULS   2728 
     22560711     PULS   2676 
     22560713     PULS   2624 
     22560715     PULS   2572 
     22560717     PULS   2522 
     22560719     PULS   2476 
     22560721     PULS   2430 
     22560723     PULS   2386 
     22560725     PULS   2344 
     22560727     PULS   2302 
     22560729     PULS   2262 
     22560731     PULS   2224 
     22560733     PULS   2188 
     22560735     PULS   2154 
     22560737     PULS   2122 
     22560739     PULS   2094 
     22560741     PULS   2064 
     22560743     PULS   2042 
     22560745     PULS   2018 
     22560747     PULS   1994 
     22560749     PULS   1968 
     22560751     PULS   1944 
     22560753     PULS   1918 
     22560755     PULS   1892 
     22560757     PULS   1868 
     22560759     PULS   1846 
     22560761     PULS   1822 
     22560763     PULS   1800 
     22560765     PULS   1780 
     22560767     PULS   1760 
     22560769     PULS   1734 
     22560771     PULS   1712 
     22560773     PULS   1692 
     22560775     PULS   1674 
     22560777     PULS   1654 
     22560779     PULS   1638 
     22560781     PULS   1622 
     22560783     PULS   1606 
     22560785     PULS   1592 
     22560787     PULS   1580 
     22560789     PULS   1566 
     22560791     PULS   1554 
     22560793     PULS   1544 
     22560795     PULS   1532 
     22560797     PULS   1516 
     22560799     PULS   1504 
     22560801     PULS   1486 
     22560803     PULS   1472 
     22560805     PULS   1450 
     22560807     PULS   1432 
     22560809     PULS   1406 
     22560811     PULS   1384 
     22560813     PULS   1362 
     22560815     PULS   1342 
     22560817     PULS   1324 
     22560819     PULS   1308 
     22560821     PULS   1292 
     22560823     PULS   1276 
     22560825     PULS   1264 
     22560827     PULS   1250 
     22560829     PULS   1236 
     22560831     PULS   1224 
     22560833     PULS   1206 
     22560835     PULS   1192 
     22560837     PULS   1174 
     22560839     PULS   1160 
     22560841     PULS   1142 
     22560843     PULS   1128 
     22560845     PULS   1112 
     22560847     PULS   1098 
     22560849     PULS   1082 
     22560851     PULS   1068 
     22560853     PULS   1056 
     22560855     PULS   1042 
     22560857     PULS   1030 
     22560859     PULS   1016 
     22560861     PULS   1004 
     22560863     PULS    990 
     22560865     PULS    978 
     22560867     PULS    970 
     22560869     PULS    958 
     22560871     PULS    948 
     22560873     PULS    938 
     22560875     PULS    930 
     22560877     PULS    920 
     22560879     PULS    916 
     22560881     PULS    910 
     22560883     PULS    908 
     22560885     PULS    906 
     22560887     PULS    910 
     22560889     PULS    918 
     22560891     PULS    932 
     22560893     PULS    952 
     22560895     PULS    974 
     22560897     PULS   1002 
     22560899     PULS   1040 
     22560901     PULS   1078 
     22560903     PULS   1126 
     22560905     PULS   1178 
     22560907     PULS   1242 
     22560909     PULS   1306 
     22560911     PULS   1380 
     22560913     PULS   1454 
     22560915     PULS   1536 
     22560917     PULS   1618 
     22560919     PULS   1706 
     22560921     PULS   1794 
     22560923     PULS   1884 
     22560925     PULS   1974 
     22560927     PULS   2062 
     22560929     PULS   2154 
     22560931     PULS   2244 
     22560933     PULS   2326 
     22560935     PULS   2412 
     22560937     PULS   2488 
     22560939     PULS   2568 
     22560941     PULS   2638 
     22560943     PULS   2710 
     22560945     PULS   2776 
     22560947     PULS   2838 
     22560949     PULS   2894 
     22560951     PULS   2946 
     22560953     PULS   2992 
     22560955     PULS   3034 
     22560957     PULS   3070 
     22560959     PULS   3102 
     22560961     PULS   3128 
     22560963     PULS   3152 
     22560965     PULS   3168 
     22560967     PULS   3180 
     22560969     PULS   3186 
     22560971     PULS   3188 
     22560973     PULS   3182 
     22560975     PULS   3176 
     22560977     PULS   3162 
     22560979     PULS   3146 
     22560981     PULS   3128 
     22560983     PULS   3110 
     22560985     PULS   3086 
     22560987     PULS   3064 
     22560989     PULS   3042 
     22560991     PULS   3018 
     22560993     PULS   2992 
     22560995     PULS   2964 
     22560997     PULS   2936 
     22560999     PULS   2904 
     22561001     PULS   2870 
     22561003     PULS   2836 
     22561005     PULS   2794 
     22561007     PULS   2758 
     22561009     PULS   2716 
     22561011     PULS   2676 
     22561013     PULS   2634 
     22561015     PULS   2598 
     22561017     PULS   2560 
     22561019     PULS   2526 
     22561021     PULS   2494 
     22561023     PULS   2462 
     22561025     PULS   2432 
     22561027     PULS   2402 
     22561029     PULS   2370 
     22561031     PULS   2344 
     22561033     PULS   2314 
     22561035     PULS   2290 
     22561037     PULS   2264 
     22561039     PULS   2242 
     22561041     PULS   2218 
     22561043     PULS   2198 
     22561045     PULS   2174 
     22561047     PULS   2156 
     22561049     PULS   2134 
     22561051     PULS   2116 
     22561053     PULS   2096 
     22561055     PULS   2076 
     22561057     PULS   2056 
     22561059     PULS   2038 
     22561061     PULS   2020 
     22561063     PULS   1998 
     22561065     PULS   1978 
     22561067     PULS   1960 
     22561069     PULS   1940 
     22561071     PULS   1924 
     22561073     PULS   1906 
     22561075     PULS   1890 
     22561077     PULS   1874 
     22561079     PULS   1856 
     22561081     PULS   1840 
     22561083     PULS   1826 
     22561085     PULS   1808 
     22561087     PULS   1790 
     22561089     PULS   1774 
     22561091     PULS   1754 
     22561093     PULS   1730 
     22561095     PULS   1710 
     22561097     PULS   1686 
     22561099     PULS   1666 
     22561101     PULS   1646 
     22561103     PULS   1626 
     22561105     PULS   1606 
     22561107     PULS   1590 
     22561109     PULS   1572 
     22561111     PULS   1556 
     22561113     PULS   1542 
     22561115     PULS   1528 
     22561117     PULS   1512 
     22561119     PULS   1496 
     22561121     PULS   1482 
     22561123     PULS   1466 
     22561125     PULS   1454 
     22561127     PULS   1442 
     22561129     PULS   1428 
     22561131     PULS   1418 
     22561133     PULS   1408 
     22561135     PULS   1402 
     22561137     PULS   1388 
     22561139     PULS   1382 
     22561141     PULS   1370 
     22561143     PULS   1360 
     22561145     PULS   1348 
     22561147     PULS   1340 
     22561149     PULS   1328 
     22561151     PULS   1318 
     22561153     PULS   1310 
     22561155     PULS   1302 
     22561157     PULS   1296 
     22561159     PULS   1286 
     22561161     PULS   1282 
     22561163     PULS   1278 
     22561165     PULS   1268 
     22561167     PULS   1262 
     22561169     PULS   1254 
     22561171     PULS   1248 
     22561173     PULS   1242 
     22561175     PULS   1242 
     22561177     PULS   1242 
     22561179     PULS   1246 
     22561181     PULS   1252 
     22561183     PULS   1264 
     22561185     PULS   1278 
     22561187     PULS   1298 
     22561189     PULS   1324 
     22561191     PULS   1354 
     22561193     PULS   1388 
     22561195     PULS   1430 
     22561197     PULS   1476 
     22561199     PULS   1530 
     22561201     PULS   1588 
     22561203     PULS   1652 
     22561205     PULS   1720 
     22561207     PULS   1792 
     22561209     PULS   1866 
     22561211     PULS   1944 
     22561213     PULS   2024 
     22561215     PULS   2104 
     22561217     PULS   2184 
     22561219     PULS   2262 
     22561221     PULS   2338 
     22561223     PULS   2416 
     22561225     PULS   2492 
     22561227     PULS   2566 
     22561229     PULS   2638 
     22561231     PULS   2708 
     22561233     PULS   2776 
     22561235     PULS   2842 
     22561237     PULS   2900 
     22561239     PULS   2958 
     22561241     PULS   3010 
     22561243     PULS   3058 
     22561245     PULS   3100 
     22561247     PULS   3138 
     22561249     PULS   3168 
     22561251     PULS   3194 
     22561253     PULS   3218 
     22561255     PULS   3236 
     22561257     PULS   3252 
     22561259     PULS   3264 
     22561261     PULS   3274 
     22561263     PULS   3282 
     22561265     PULS   3284 
     22561267     PULS   3288 
     22561269     PULS   3284 
     22561271     PULS   3284 
     22561273     PULS   3276 
     22561275     PULS   3270 
     22561277     PULS   3260 
     22561279     PULS   3250 
     22561281     PULS   3234 
     22561283     PULS   3216 
     22561285     PULS   3198 
     22561287     PULS   3178 
     22561289     PULS   3154 
     22561291     PULS   3126 
     22561293     PULS   3094 
     22561295     PULS   3060 
     22561297     PULS   3020 
     22561299     PULS   2982 
     22561301     PULS   2938 
     22561303     PULS   2898 
